,weekday,time,consumption_kwh,consumption_kw
343,Sunday,13:45:00,0.9136538461538461,3.6546153846153846
344,Sunday,14:00:00,0.8965384615384615,3.586153846153846
345,Sunday,14:15:00,0.8951923076923076,3.5807692307692305
346,Sunday,14:30:00,0.8594230769230768,3.4376923076923074
347,Sunday,14:45:00,0.9390384615384615,3.756153846153846
348,Sunday,15:00:00,1.0034615384615384,4.013846153846154
349,Sunday,15:15:00,1.0471153846153847,4.188461538461539
350,Sunday,15:30:00,1.0284615384615385,4.113846153846154
351,Sunday,15:45:00,1.0648076923076923,4.259230769230769
352,Sunday,16:00:00,1.0501923076923076,4.200769230769231
353,Sunday,16:15:00,1.0859615384615384,4.343846153846154
354,Sunday,16:30:00,1.0594230769230768,4.237692307692307
355,Sunday,16:45:00,1.0409615384615385,4.163846153846154
356,Sunday,17:00:00,0.9815384615384615,3.926153846153846
357,Sunday,17:15:00,1.0078846153846153,4.031538461538461
358,Sunday,17:30:00,0.9673076923076922,3.869230769230769
359,Sunday,17:45:00,0.9432692307692307,3.773076923076923
360,Sunday,18:00:00,1.0178846153846153,4.071538461538461
361,Sunday,18:15:00,1.0973076923076923,4.389230769230769
362,Sunday,18:30:00,1.1646153846153846,4.658461538461538
363,Sunday,18:45:00,1.2236538461538462,4.894615384615385
364,Sunday,19:00:00,1.3534615384615383,5.413846153846153
365,Sunday,19:15:00,1.3684615384615384,5.473846153846154
366,Sunday,19:30:00,1.3642307692307691,5.4569230769230765
367,Sunday,19:45:00,1.360769230769231,5.443076923076924
368,Sunday,20:00:00,1.1805769230769232,4.722307692307693
369,Sunday,20:15:00,1.1425,4.57
370,Sunday,20:30:00,1.0559615384615384,4.223846153846154
371,Sunday,20:45:00,1.0675,4.27
372,Sunday,21:00:00,1.0434615384615384,4.173846153846154
373,Sunday,21:15:00,1.0621153846153846,4.248461538461538
374,Sunday,21:30:00,1.0665384615384617,4.266153846153847
375,Sunday,21:45:00,1.1246153846153846,4.498461538461538
376,Sunday,22:00:00,1.1984615384615385,4.793846153846154
377,Sunday,22:15:00,1.228653846153846,4.914615384615384
378,Sunday,22:30:00,1.3250000000000002,5.300000000000001
379,Sunday,22:45:00,1.2757692307692308,5.103076923076923
380,Sunday,23:00:00,1.2788461538461537,5.115384615384615
381,Sunday,23:15:00,1.2648076923076923,5.059230769230769
382,Sunday,23:30:00,1.2276923076923079,4.910769230769231
383,Sunday,23:45:00,1.1676923076923076,4.67076923076923
384,Thursday,00:00:00,1.1690384615384615,4.676153846153846
385,Thursday,00:15:00,1.2013461538461538,4.805384615384615
386,Thursday,00:30:00,1.143846153846154,4.575384615384616
387,Thursday,00:45:00,1.190576923076923,4.762307692307692
388,Thursday,01:00:00,1.1534615384615383,4.613846153846153
389,Thursday,01:15:00,1.1388461538461538,4.555384615384615
390,Thursday,01:30:00,1.1771153846153846,4.708461538461538
391,Thursday,01:45:00,1.1778846153846154,4.711538461538462
392,Thursday,02:00:00,1.1423076923076922,4.569230769230769
393,Thursday,02:15:00,1.1121153846153846,4.4484615384615385
394,Thursday,02:30:00,1.0780769230769232,4.312307692307693
395,Thursday,02:45:00,1.0259615384615386,4.103846153846154
396,Thursday,03:00:00,1.0636538461538463,4.254615384615385
397,Thursday,03:15:00,1.135,4.54
398,Thursday,03:30:00,1.2042307692307692,4.816923076923077
399,Thursday,03:45:00,1.218076923076923,4.872307692307692
400,Thursday,04:00:00,1.1832692307692307,4.733076923076923
401,Thursday,04:15:00,1.2932692307692308,5.173076923076923
402,Thursday,04:30:00,1.3721153846153844,5.488461538461538
403,Thursday,04:45:00,1.3086538461538462,5.234615384615385
404,Thursday,05:00:00,1.2803846153846155,5.121538461538462
405,Thursday,05:15:00,1.2663461538461538,5.065384615384615
406,Thursday,05:30:00,1.2136538461538462,4.854615384615385
